request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_60,149.45,affordable_later,wait,2026-01-14:199.89,2026-01-14,none,Pay USD 199.89 in full on 2026-01-14. Paying earlier would put the USD 400 minimum at risk.
request_61,21954.01,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 29062 request. No eligible payment keeps the ZAR 36700 minimum protected.
request_62,0,not_affordable,not_recommended,none,,none,Do not proceed with the USD 404.23 request. No eligible payment keeps the USD 1300 minimum protected.
request_63,37494.87,not_affordable,not_recommended,none,,none,Do not proceed with the INR 343900 request. No eligible payment keeps the INR 153500 minimum protected.
request_64,0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 63700 request. No eligible payment keeps the INR 36100 minimum protected.
request_65,7717.96,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 54340 request. No eligible payment keeps the ZAR 15500 minimum protected.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,pay INR 22200 today. This keeps the INR 80700 minimum available over the next 90 days.
request_67,420.57,affordable_later,wait,2024-09-13:2094,2024-09-13,none,Pay USD 2094 in full on 2024-09-13. Paying earlier would put the USD 1200 minimum at risk.
request_68,1440.68,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-13,none,"use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 1500 available. Plan: 2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09."
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,pay EUR 529.1 today. This keeps the EUR 700 minimum available over the next 90 days.
request_70,50673.92,affordable_later,wait,2025-02-13:243900,2025-02-13,none,Pay INR 243900 in full on 2025-02-13. Paying earlier would put the INR 115000 minimum at risk.
request_71,309656.69,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 2.1451e+07 request. No eligible payment keeps the IDR 8.8848e+06 minimum protected.
request_72,0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 11330 request. No eligible payment keeps the ZAR 12200 minimum protected.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,pay INR 71400 today. This keeps the INR 103200 minimum available over the next 90 days.
request_74,0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 5010 request. No eligible payment keeps the ZAR 21900 minimum protected.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"use 3 installments of ZAR 9800.27, starting 2026-04-09. This leaves at least ZAR 39000 available. Plan: 2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27."
request_76,816.52,not_affordable,not_recommended,none,,none,Do not proceed with the USD 4455.6 request. No eligible payment keeps the USD 1800 minimum protected.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,pay INR 60700 today. This keeps the INR 82200 minimum available over the next 90 days.
request_78,45738.03,not_affordable,not_recommended,none,2025-10-15,none,Do not proceed with the INR 50200 request. No eligible payment keeps the INR 55200 minimum protected.
request_79,690.29,not_affordable,not_recommended,none,2024-11-13,none,Do not proceed with the EUR 2151.6 request. No eligible payment keeps the EUR 1000 minimum protected.
request_80,126303.01,not_affordable,not_recommended,none,,none,Do not proceed with the INR 217500 request. No eligible payment keeps the INR 121300 minimum protected.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,pay USD 2076 today. This keeps the USD 1600 minimum available over the next 90 days.
request_82,353.02,affordable_later,wait,2024-12-15:1405.20,2024-12-15,none,Pay USD 1405.2 in full on 2024-12-15. Paying earlier would put the USD 1100 minimum at risk.
request_83,0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 156200 request. No eligible payment keeps the INR 37800 minimum protected.
request_84,33331.14,affordable_later,wait,2026-06-13:95400,2026-06-13,none,Pay INR 95400 in full on 2026-06-13. Paying earlier would put the INR 91300 minimum at risk.
request_85,858725.16,not_affordable,not_recommended,none,2024-04-13,none,Do not proceed with the IDR 1.9304e+07 request. No eligible payment keeps the IDR 6.3963e+06 minimum protected.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,pay INR 46300 today. This keeps the INR 84900 minimum available over the next 90 days.
request_87,0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 487900 request. No eligible payment keeps the INR 185900 minimum protected.
request_88,10746.68,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-14,none,"use 3 installments of ZAR 9045.23, starting 2024-06-14. This leaves at least ZAR 25800 available. Plan: 2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23."
request_89,9281279.57,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-14,none,"use 3 installments of IDR 4.76875e+06, starting 2025-11-18. This leaves at least IDR 1.25347e+07 available. Plan: 2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67."
request_90,0,affordable_with_plan,full_payment,2026-07-06:2560,,reduce_to:event_8438:193.60|reduce_to:event_8439:234.96|reduce_to:event_8476:275,"Apply spending changes (reduce_to:event_8438:193.60|reduce_to:event_8439:234.96|reduce_to:event_8476:275), then pay ZAR 2560 today. This keeps the ZAR 7600 minimum available over the next 90 days."
request_91,1105.89,affordable_later,wait,2024-11-13:1927.20,2024-11-13,none,Pay EUR 1927.2 in full on 2024-11-13. Paying earlier would put the EUR 2100 minimum at risk.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,pay ZAR 34034 today. This keeps the ZAR 28100 minimum available over the next 90 days.
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,pay USD 1729.2 today. This keeps the USD 1900 minimum available over the next 90 days.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,pay EUR 572 today. This keeps the EUR 600 minimum available over the next 90 days.
request_95,61054.61,not_affordable,not_recommended,none,,none,Do not proceed with the INR 553000 request. No eligible payment keeps the INR 145500 minimum protected.
request_96,77066.03,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-14,none,"use 3 installments of INR 31269.3, starting 2026-01-10. This leaves at least INR 56500 available. Plan: 2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33."
request_97,1497.80,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"use 3 installments of ZAR 8145.28, starting 2024-03-19. This leaves at least ZAR 29700 available. Plan: 2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28."
request_98,11194.46,affordable_later,wait,2025-10-13:27148,2025-10-13,none,Pay ZAR 27148 in full on 2025-10-13. Paying earlier would put the ZAR 30000 minimum at risk.
request_99,17231.30,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9232:1065.90,"Apply spending changes (reduce_to:event_9232:1065.90), then pay ZAR 18062 today. This keeps the ZAR 49100 minimum available over the next 90 days."
request_100,25712.52,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-14,none,"use 3 installments of ZAR 12866.2, starting 2024-06-13. This leaves at least ZAR 32500 available. Plan: 2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,pay INR 143500 today. This keeps the INR 187400 minimum available over the next 90 days.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-07,none,"use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900 available. Plan: 2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88."
request_103,23947.58,not_affordable,not_recommended,none,2024-10-13,none,Do not proceed with the INR 368300 request. No eligible payment keeps the INR 125500 minimum protected.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,pay ZAR 17204 today. This keeps the ZAR 24700 minimum available over the next 90 days.
request_105,51969.08,affordable_with_plan,full_payment,2026-06-08:53500,2026-08-13,reduce_to:event_9720:1632,"Apply spending changes (reduce_to:event_9720:1632), then pay INR 53500 today. This keeps the INR 73900 minimum available over the next 90 days."
request_106,978.79,affordable_later,wait,2025-01-14:2207.70,2025-01-14,none,Pay EUR 2207.7 in full on 2025-01-14. Paying earlier would put the EUR 1200 minimum at risk.
request_107,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 2534.4 request. No eligible payment keeps the EUR 1600 minimum protected.
request_108,1957.79,not_affordable,not_recommended,none,2026-09-13,none,Do not proceed with the ZAR 55308 request. No eligible payment keeps the ZAR 24100 minimum protected.
request_109,648.33,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1700 available. Plan: 2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98."
request_110,18556.83,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 22352 request. No eligible payment keeps the ZAR 11200 minimum protected.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,pay IDR 1.6625e+07 today. This keeps the IDR 2.30228e+07 minimum available over the next 90 days.
request_112,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 271.7 request. No eligible payment keeps the EUR 500 minimum protected.
request_113,25113.97,affordable_later,wait,2026-09-14:36500,2026-09-14,none,Pay INR 36500 in full on 2026-09-14. Paying earlier would put the INR 82300 minimum at risk.
request_114,62180.89,affordable_with_plan,full_payment,2026-01-04:65300,2026-01-14,stop:event_10558|stop:event_10559,"Apply spending changes (stop:event_10558|stop:event_10559), then pay INR 65300 today. This keeps the INR 113400 minimum available over the next 90 days."
request_115,14790.16,affordable_later,wait,2024-11-13:80500,2024-11-13,none,Pay INR 80500 in full on 2024-11-13. Paying earlier would put the INR 38800 minimum at risk.
request_116,12669.38,not_affordable,not_recommended,none,,none,Do not proceed with the INR 241200 request. No eligible payment keeps the INR 80300 minimum protected.
request_117,861.33,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833,"Apply spending changes (stop:event_10833), then pay EUR 880 today. This keeps the EUR 1000 minimum available over the next 90 days."
request_118,714.59,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"use 3 installments of EUR 255.87, starting 2024-12-07. This leaves at least EUR 600 available. Plan: 2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87."
request_119,1963.79,not_affordable,not_recommended,none,,none,Do not proceed with the INR 203500 request. No eligible payment keeps the INR 151200 minimum protected.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,pay IDR 7.714e+06 today. This keeps the IDR 2.00503e+07 minimum available over the next 90 days.
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,pay USD 633.6 today. This keeps the USD 800 minimum available over the next 90 days.
request_122,18241100.06,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 2.0558e+07 request. No eligible payment keeps the IDR 1.25885e+07 minimum protected.
request_123,0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 4.076e+06 request. No eligible payment keeps the IDR 1.80912e+07 minimum protected.
request_124,1543.69,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-14,none,"use 3 installments of EUR 1076.12, starting 2024-06-11. This leaves at least EUR 1600 available. Plan: 2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,pay ZAR 6468 today. This keeps the ZAR 11300 minimum available over the next 90 days.
request_126,16516.23,not_affordable,not_recommended,none,,none,Do not proceed with the INR 159600 request. No eligible payment keeps the INR 129700 minimum protected.
request_127,0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 23980 request. No eligible payment keeps the ZAR 41000 minimum protected.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,pay ZAR 25168 today. This keeps the ZAR 42600 minimum available over the next 90 days.
request_129,117.73,not_affordable,not_recommended,none,,none,Do not proceed with the USD 2668.8 request. No eligible payment keeps the USD 800 minimum protected.
request_130,552.67,affordable_later,wait,2024-12-14:1978.80,2024-12-14,none,Pay USD 1978.8 in full on 2024-12-14. Paying earlier would put the USD 1400 minimum at risk.
request_131,1468.25,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-14,none,"use 3 installments of USD 643.14, starting 2025-05-06. This leaves at least USD 1100 available. Plan: 2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14."
request_132,350.42,affordable_later,wait,2026-01-14:379.86,2026-01-14,none,Pay USD 379.86 in full on 2026-01-14. Paying earlier would put the USD 1100 minimum at risk.
request_133,0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 1.577e+07 request. No eligible payment keeps the IDR 9.9862e+06 minimum protected.
request_134,4842436.01,affordable_later,wait,2025-08-14:21831000,2025-08-14,none,Pay IDR 2.1831e+07 in full on 2025-08-14. Paying earlier would put the IDR 1.59025e+07 minimum at risk.
request_135,277.29,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,reduce_to:event_12413:11.50|reduce_to:event_12458:17.50,"Apply spending changes (reduce_to:event_12413:11.50|reduce_to:event_12458:17.50), then pay USD 304.8 today. This keeps the USD 500 minimum available over the next 90 days."
request_136,560.40,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,pay USD 560.4 today. This keeps the USD 1100 minimum available over the next 90 days.
request_137,33461.78,affordable_later,wait,2026-01-13:80100,2026-01-13,none,Pay INR 80100 in full on 2026-01-13. Paying earlier would put the INR 71800 minimum at risk.
request_138,1003.36,affordable_with_plan,partial_payment,2026-04-07:1003.36|2026-04-14:253.58,2026-04-14,none,Pay EUR 1003.36 today and the remaining EUR 253.58 on 2026-04-14. This completes the full request and keeps the EUR 2300 minimum protected.
request_139,1828.65,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-14,none,"use 3 installments of USD 802.88, starting 2024-09-07. This leaves at least USD 1500 available. Plan: 2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88."
request_140,0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 62832 request. No eligible payment keeps the ZAR 21600 minimum protected.
request_141,22478.42,not_affordable,not_recommended,none,,none,Do not proceed with the INR 171600 request. No eligible payment keeps the INR 67300 minimum protected.
request_142,728.81,not_affordable,not_recommended,none,,none,Do not proceed with the USD 1263.6 request. No eligible payment keeps the USD 1700 minimum protected.
request_143,3073.55,affordable_later,wait,2025-07-14:12584,2025-07-14,none,Pay ZAR 12584 in full on 2025-07-14. Paying earlier would put the ZAR 11300 minimum at risk.
request_144,0,not_affordable,not_recommended,none,,none,Do not proceed with the USD 233.34 request. No eligible payment keeps the USD 600 minimum protected.
request_145,27402.95,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-03-16,none,"use 3 installments of INR 75365.3, starting 2024-03-20. This leaves at least INR 155400 available. Plan: 2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33."
request_146,30271.02,affordable_later,wait,2025-10-13:449400,2025-10-13,none,Pay INR 449400 in full on 2025-10-13. Paying earlier would put the INR 108600 minimum at risk.
request_147,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1129.7 request. No eligible payment keeps the EUR 900 minimum protected.
request_148,7165.29,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-14,none,"use 3 installments of ZAR 7710.56, starting 2024-06-14. This leaves at least ZAR 20000 available. Plan: 2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56."
request_149,24827.41,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-14,none,"use 3 installments of ZAR 12706, starting 2025-11-18. This leaves at least ZAR 42100 available. Plan: 2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03."
request_150,369.95,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-14,none,"use 3 installments of EUR 171.98, starting 2026-01-06. This leaves at least EUR 700 available. Plan: 2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,pay IDR 2.6999e+07 today. This keeps the IDR 3.16336e+07 minimum available over the next 90 days.
request_152,11900.07,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,reduce_to:event_14024:234.30,"Apply spending changes (reduce_to:event_14024:234.30), then use 3 installments of ZAR 4812.43, starting 2025-02-12. This leaves at least ZAR 11900 available. Plan: 2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43."
request_153,126.92,not_affordable,not_recommended,none,,none,Do not proceed with the USD 2830.8 request. No eligible payment keeps the USD 1400 minimum protected.
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"use 3 installments of EUR 563.61, starting 2024-12-04. This leaves at least EUR 1300 available. Plan: 2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61."
request_155,93950.08,not_affordable,not_recommended,none,,none,Do not proceed with the INR 112500 request. No eligible payment keeps the INR 56300 minimum protected.
request_156,9488.22,affordable_later,wait,2026-06-13:43076,2026-06-13,none,Pay ZAR 43076 in full on 2026-06-13. Paying earlier would put the ZAR 26900 minimum at risk.
request_157,5554190.94,affordable_later,wait,2024-03-14:23503000,2024-03-14,none,Pay IDR 2.3503e+07 in full on 2024-03-14. Paying earlier would put the IDR 1.57141e+07 minimum at risk.
request_158,208300.31,not_affordable,not_recommended,none,,none,Do not proceed with the INR 242600 request. No eligible payment keeps the INR 131400 minimum protected.
request_159,0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 13398 request. No eligible payment keeps the ZAR 8700 minimum protected.
request_160,571.54,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-14,none,"use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1200 available. Plan: 2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05."
request_161,0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 2.1204e+07 request. No eligible payment keeps the IDR 2.30104e+07 minimum protected.
request_162,1433045.66,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 8.3923e+07 request. No eligible payment keeps the IDR 2.41611e+07 minimum protected.
request_163,12527426.51,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-14,none,"use 3 installments of IDR 6.69205e+06, starting 2024-09-10. This leaves at least IDR 2.67287e+07 available. Plan: 2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"use 3 installments of IDR 9.36624e+06, starting 2025-02-11. This leaves at least IDR 2.95505e+07 available. Plan: 2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,pay INR 80600 today. This keeps the INR 95000 minimum available over the next 90 days.
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"use 3 installments of USD 1007.97, starting 2024-12-03. This leaves at least USD 1700 available. Plan: 2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,pay ZAR 43802 today. This keeps the ZAR 31200 minimum available over the next 90 days.
request_168,33299.29,affordable_with_plan,partial_payment,2026-01-07:33299.29|2026-01-14:16080.71,2026-01-14,none,Pay INR 33299.3 today and the remaining INR 16080.7 on 2026-01-14. This completes the full request and keeps the INR 114400 minimum protected.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,pay ZAR 41976 today. This keeps the ZAR 18700 minimum available over the next 90 days.
request_170,33759127.13,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-14,none,"use 3 installments of IDR 1.28045e+07, starting 2025-08-06. This leaves at least IDR 2.47158e+07 available. Plan: 2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480."
request_171,31.24,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1878.8 request. No eligible payment keeps the EUR 500 minimum protected.
request_172,10199.99,affordable_with_plan,partial_payment,2024-06-05:10199.99|2024-06-06:0.01,2024-06-05,none,Pay ZAR 10200 today and the remaining ZAR 0.01 on 2024-06-06. This completes the full request and keeps the ZAR 27200 minimum protected.
request_173,68175.04,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,,reduce_to:event_15946:2105,"Apply spending changes (reduce_to:event_15946:2105), then use 3 installments of INR 39173.3, starting 2025-11-21. This leaves at least INR 79100 available. Plan: 2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33."
